norm_power: [-0.5, -0.4, -0.3, -0.2, -0.1]
norm_power_len: [-20, -20, -20, -20, -20]
5->4->3->2->1





{'graph_norm_type': 'adjacency', 'pair_norm_type': 'laplacian', 'pair_dis_type': 'cosine', 'pair_trunc': 0, 'norm_power': [-0.5, -0.4, -0.3], 'norm_power_len': [-20, -20, -20], 'nclass': 5, 'nlayer': 2, 'num_heads': 1, 'hidden_dim': 64, 'epoch': 20000, 'lr': 0.01, 'weight_decay': 0.0005, 'tran_dropout': 0.2, 'feat_dropout': 0.8, 'prop_dropout': 0.2, 'norm': 'none', 'nonlinear': 'GELU', 'patience': 20000, 'residual': 'True', 'is_f_tf': 'False', 'dataset': 'chameleon', 'cuda': 0, 'seeds': [0], 'model': 'spectral_transformer', 'rank': 0}
tensor(107.7013, grad_fn=<MulBackward0>) tensor(104.8348, grad_fn=<MulBackward0>)





19977, 1.09126997, 0.49450549, 1.09126997               1.08122873, 1.08115613, 1.08113074
19978, 1.08985353, 0.47032967, 1.08985353               1.08122873, 1.08115613, 1.08113074
19979, 1.09523726, 0.50769234, 1.09523726               1.08122873, 1.08115613, 1.08113074
19980, 1.09667909, 0.49450549, 1.09667909               1.08122873, 1.08115613, 1.08113074
19981, 1.09788632, 0.49890110, 1.09788632               1.08122873, 1.08115613, 1.08113074
19982, 1.09106648, 0.47032967, 1.09106648               1.08122873, 1.08115613, 1.08113074
19983, 1.08920956, 0.48131868, 1.08920956               1.08122873, 1.08115613, 1.08113074
19984, 1.09150255, 0.50329673, 1.09150255               1.08122873, 1.08115613, 1.08113074
19985, 1.09257460, 0.49010989, 1.09257460               1.08122873, 1.08115613, 1.08113074
19986, 1.09148884, 0.47692308, 1.09148884               1.08122873, 1.08115613, 1.08113074
19987, 1.09242296, 0.48571429, 1.09242296               1.08122873, 1.08115613, 1.08113074
19988, 1.09331417, 0.49230769, 1.09331417               1.08122873, 1.08115613, 1.08113074
19989, 1.09394991, 0.47472528, 1.09394991               1.08122873, 1.08115613, 1.08113074
19990, 1.09507465, 0.47692308, 1.09507465               1.08122873, 1.08115613, 1.08113074
19991, 1.09730589, 0.50769234, 1.09730589               1.08122873, 1.08115613, 1.08113074
19992, 1.09387910, 0.48351648, 1.09387910               1.08122873, 1.08115613, 1.08113074
19993, 1.09184813, 0.44615385, 1.09184813               1.08122873, 1.08115613, 1.08113074
19994, 1.09691274, 0.50549453, 1.09691274               1.08122873, 1.08115613, 1.08113074
19995, 1.09040189, 0.49230769, 1.09040189               1.08122873, 1.08115613, 1.08113074
19996, 1.09080279, 0.48571429, 1.09080279               1.08122873, 1.08115613, 1.08113074
19997, 1.09062433, 0.48351648, 1.09062433               1.08122873, 1.08115613, 1.08113074
19998, 1.09059179, 0.48351648, 1.09059179               1.08122873, 1.08115613, 1.08113074
19999, 1.08899415, 0.48131868, 1.08899415               1.08122873, 1.08115613, 1.08113074
